particle #,x,y,vx,vy,m,Omega,h,density,pressure,dvx/dt,dvy/dt,du/dt
particle 0,0.01,0.01,-1.89076e-16,-4.59583e-16,0.43,0.991062,0.0240029,1074.74,716.491,4.45767e-14,2.77013e-14,3.43969e-14
particle 1,0.01,0.03,-3.65761e-16,-4.8432e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.75424e-14,1.84962e-15,1.52816e-14
particle 2,0.01,0.05,-5.34419e-16,-4.92507e-16,0.43,0.991062,0.0240029,1074.74,716.491,6.71685e-15,1.9873e-14,2.5751e-16
particle 3,0.01,0.07,-5.81175e-16,2.66134e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.63346e-14,-3.39182e-14,4.4711e-15
particle 4,0.01,0.09,-2.79969e-16,2.60673e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.94707e-14,-1.44215e-14,2.30762e-14
particle 5,0.01,0.11,-3.14768e-16,2.21484e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.42753e-14,-3.97505e-15,2.73428e-14
particle 6,0.01,0.13,-1.45506e-16,-1.7655e-17,0.43,0.991062,0.0240029,1074.74,716.491,2.77739e-14,-1.73284e-14,5.01617e-14
particle 7,0.01,0.15,-4.05801e-16,-1.72164e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.7145e-14,1.26565e-14,1.58347e-14
particle 8,0.01,0.17,-5.39706e-16,2.51615e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.65934e-14,1.53538e-15,-1.7754e-14
particle 9,0.01,0.19,-1.04264e-16,9.44603e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.49809e-14,-7.78512e-15,3.77633e-14
particle 10,0.01,0.21,-2.27253e-16,-1.11047e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.53686e-14,1.53211e-14,3.34265e-14
particle 11,0.01,0.23,-5.59957e-16,-2.69123e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.51294e-14,-1.05523e-14,-2.12909e-14
particle 12,0.01,0.25,-1.89022e-16,1.57123e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.5095e-14,-2.71252e-14,2.39059e-14
particle 13,0.01,0.27,-4.77497e-16,-5.26795e-16,0.43,0.991062,0.0240029,1074.74,716.491,4.66294e-15,4.91274e-15,8.45417e-14
particle 14,0.01,0.29,-3.12656e-16,-3.08587e-15,0.43,0.991062,0.0240029,1074.74,716.491,5.09315e-15,8.77076e-15,-3.0766e-14
particle 15,0.01,0.31,-2.26809e-17,2.80985e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.77983e-14,-1.96649e-14,-2.43925e-14
particle 16,0.01,0.33,-3.23796e-16,-3.27074e-17,0.43,0.991062,0.0240029,1074.74,716.491,1.4308e-14,5.82867e-16,9.76403e-14
particle 17,0.01,0.35,-3.42914e-16,-2.80794e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.75276e-14,2.03171e-14,-2.05409e-14
particle 18,0.01,0.37,-2.27215e-17,2.8074e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.7784e-14,-1.87482e-14,-1.88629e-14
particle 19,0.01,0.39,-3.42598e-16,-1.17715e-17,0.43,0.991062,0.0240029,1074.74,716.491,1.44745e-14,-2.27596e-15,9.92029e-14
particle 20,0.01,0.41,-3.63139e-16,-2.79277e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.04222e-14,2.20934e-14,-1.97654e-14
particle 21,0.01,0.43,-2.34397e-17,2.81532e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.06206e-14,-1.95758e-14,-1.79335e-14
particle 22,0.01,0.45,-3.57886e-16,3.79216e-18,0.43,0.991062,0.0240029,1074.74,716.491,1.44051e-14,3.13638e-15,9.84867e-14
particle 23,0.01,0.47,-3.46114e-16,-2.78677e-15,0.43,0.991062,0.0240029,1074.74,716.491,9.45077e-15,2.13718e-14,-2.99938e-14
particle 24,0.01,0.49,-6.58171e-17,3.24469e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.88563e-14,1.03423e-15,-4.17634e-14
particle 25,0.01,0.51,-1.75931e-16,9.71485e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.5234e-14,-1.7062e-14,6.92103e-14
particle 26,0.01,0.53,-1.59112e-16,-2.81412e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.19618e-14,-1.321e-14,7.70578e-14
particle 27,0.01,0.55,1.35491e-17,-2.23193e-15,0.43,0.991062,0.0240029,1074.74,716.491,6.23113e-15,6.43929e-15,1.05771e-13
particle 28,0.01,0.57,-2.664e-16,-6.42171e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.17129e-14,-1.04083e-14,-1.14581e-13
particle 29,0.01,0.59,-3.74112e-17,6.55018e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.24672e-14,1.44348e-14,-1.19114e-13
particle 30,0.01,0.61,-2.61484e-17,2.50227e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.33578e-14,4.60455e-15,9.94521e-14
particle 31,0.01,0.63,-2.12283e-17,4.814e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.99942e-14,1.72991e-14,6.9459e-14
particle 32,0.01,0.65,3.12958e-17,-5.74692e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.85725e-14,-2.4211e-14,6.71441e-14
particle 33,0.01,0.67,9.2829e-17,-2.41577e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.18991e-14,-1.249e-15,9.66142e-14
particle 34,0.01,0.69,-3.39675e-16,-6.41421e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.26149e-14,-1.4877e-14,-1.19188e-13
particle 35,0.01,0.71,-1.69835e-17,6.56526e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.25359e-14,1.25765e-14,-1.18202e-13
particle 36,0.01,0.73,-2.99507e-17,2.51383e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.42455e-14,4.60541e-15,1.00279e-13
particle 37,0.01,0.75,-2.15466e-17,4.63945e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.98538e-14,1.83293e-14,6.96446e-14
particle 38,0.01,0.77,3.12958e-17,-5.74692e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.85725e-14,-2.4211e-14,6.70465e-14
particle 39,0.01,0.79,9.2829e-17,-2.41577e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.18991e-14,-1.249e-15,9.66653e-14
particle 40,0.01,0.81,-3.39675e-16,-6.41421e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.26149e-14,-1.4877e-14,-1.19185e-13
particle 41,0.01,0.83,-1.69833e-17,6.56526e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.25359e-14,1.25765e-14,-1.18203e-13
particle 42,0.01,0.85,-2.99484e-17,2.51382e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.42454e-14,4.60566e-15,1.00308e-13
particle 43,0.01,0.87,-2.1343e-17,4.61404e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.984e-14,1.74409e-14,7.00543e-14
particle 44,0.01,0.89,1.42072e-18,-6.07771e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.9215e-15,-3.04147e-14,6.79982e-14
particle 45,0.01,0.91,-2.88363e-18,-2.43868e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.64729e-14,1.52656e-15,9.72547e-14
particle 46,0.01,0.93,-3.77913e-16,-6.43633e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.60288e-14,-1.37113e-14,-1.18753e-13
particle 47,0.01,0.95,-1.61745e-16,6.43559e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.74909e-14,6.40186e-15,-1.17246e-13
particle 48,0.01,0.97,-8.98304e-17,2.38788e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.73462e-14,-4.70775e-16,9.61536e-14
particle 49,0.01,0.99,-3.42414e-16,6.2056e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.50979e-14,3.92088e-14,6.51716e-14
particle 50,0.03,0.01,-4.32489e-16,-4.91255e-16,0.43,0.991062,0.0240029,1074.74,716.491,-6.36709e-15,3.64792e-14,2.62128e-14
particle 51,0.03,0.03,-6.79547e-16,-8.5223e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.66249e-15,-2.39818e-14,1.24922e-15
particle 52,0.03,0.05,-5.3109e-16,-5.77777e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.01108e-15,2.76787e-14,-1.77273e-14
particle 53,0.03,0.07,-4.86805e-16,4.95068e-16,0.43,0.991062,0.0240029,1074.74,716.491,-5.26763e-15,-2.66761e-14,-1.18669e-14
particle 54,0.03,0.09,-7.22952e-16,2.69358e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.23959e-15,-4.5705e-15,8.10437e-15
particle 55,0.03,0.11,-5.51436e-16,2.03588e-16,0.43,0.991062,0.0240029,1074.74,716.491,4.59203e-16,-2.4778e-15,1.08582e-14
particle 56,0.03,0.13,-7.03894e-16,-4.63883e-17,0.43,0.991062,0.0240029,1074.74,716.491,4.21215e-15,-4.60408e-15,3.36046e-14
particle 57,0.03,0.15,-5.91988e-16,-1.69311e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.64208e-15,6.01173e-15,-2.42963e-15
particle 58,0.03,0.17,-7.47108e-16,3.40412e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.12205e-15,-7.43258e-15,-3.70821e-14
particle 59,0.03,0.19,-6.2653e-16,1.01371e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.64568e-15,-1.62411e-14,2.63554e-14
particle 60,0.03,0.21,-5.43215e-16,-1.13604e-15,0.43,0.991062,0.0240029,1074.74,716.491,-6.41014e-15,1.26003e-14,2.27571e-14
particle 61,0.03,0.23,-6.11035e-16,-3.24456e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.72442e-14,-9.62721e-15,-3.71114e-14
particle 62,0.03,0.25,-5.6478e-16,1.5916e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.17111e-14,-2.39123e-14,1.16379e-14
particle 63,0.03,0.27,-6.58911e-16,-5.74265e-16,0.43,0.991062,0.0240029,1074.74,716.491,-5.13145e-15,-6.53921e-16,7.47187e-14
particle 64,0.03,0.29,-5.06649e-16,-3.43507e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.43219e-14,8.45157e-15,-4.67832e-14
particle 65,0.03,0.31,-5.95896e-16,3.05165e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.78552e-14,-8.08103e-15,-4.07466e-14
particle 66,0.03,0.33,-5.006e-16,9.54927e-17,0.43,0.991062,0.0240029,1074.74,716.491,1.8974e-16,5.33135e-15,9.08081e-14
particle 67,0.03,0.35,-5.82334e-16,-3.20138e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.93734e-14,9.36751e-15,-3.66027e-14
particle 68,0.03,0.37,-7.09477e-16,3.06914e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.246e-14,-1.02268e-14,-3.73109e-14
particle 69,0.03,0.39,-5.85661e-16,9.31492e-17,0.43,0.991062,0.0240029,1074.74,716.491,5.45117e-15,4.31045e-15,9.08102e-14
particle 70,0.03,0.41,-6.32501e-16,-3.20932e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.05194e-14,1.36002e-15,-3.70712e-14
particle 71,0.03,0.43,-7.87663e-16,3.07086e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.19928e-15,-1.40896e-14,-3.75953e-14
particle 72,0.03,0.45,-6.58258e-16,7.24076e-17,0.43,0.991062,0.0240029,1074.74,716.491,8.67736e-15,1.03301e-14,8.60935e-14
particle 73,0.03,0.47,-5.05938e-16,-2.95801e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.84019e-14,2.66454e-15,-4.83031e-14
particle 74,0.03,0.49,-3.61958e-16,3.69687e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.15744e-14,9.15919e-15,-5.62548e-14
particle 75,0.03,0.51,-3.09321e-16,1.20857e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.25478e-14,-1.87401e-14,6.34998e-14
particle 76,0.03,0.53,-2.32509e-16,-5.16642e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.18896e-15,-3.23191e-14,7.2149e-14
particle 77,0.03,0.55,-5.29859e-16,-2.52658e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.57164e-16,6.66502e-15,9.74937e-14
particle 78,0.03,0.57,-4.83501e-16,-6.83099e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.63758e-15,-4.51028e-15,-1.32705e-13
particle 79,0.03,0.59,-4.35234e-16,6.87595e-15,0.43,0.991062,0.0240029,1074.74,716.491,6.49402e-15,3.50696e-14,-1.3805e-13
particle 80,0.03,0.61,-3.80007e-16,2.95864e-15,0.43,0.991062,0.0240029,1074.74,716.491,7.8413e-15,4.37827e-15,9.05189e-14
particle 81,0.03,0.63,-2.25027e-16,6.21335e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.52887e-14,1.23396e-14,6.59387e-14
particle 82,0.03,0.65,-1.73245e-16,-8.10304e-16,0.43,0.991062,0.0240029,1074.74,716.491,5.75855e-15,-2.4709e-14,6.62906e-14
particle 83,0.03,0.67,-2.72724e-16,-2.74094e-15,0.43,0.991062,0.0240029,1074.74,716.491,-6.79685e-15,-2.3331e-15,9.21775e-14
particle 84,0.03,0.69,-4.95984e-16,-6.71616e-15,0.43,0.991062,0.0240029,1074.74,716.491,8.74301e-15,-1.78746e-14,-1.36627e-13
particle 85,0.03,0.71,-4.5676e-16,6.90579e-15,0.43,0.991062,0.0240029,1074.74,716.491,7.2007e-15,2.68198e-14,-1.36394e-13
particle 86,0.03,0.73,-3.52317e-16,2.95775e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.0529e-14,4.25565e-15,9.17226e-14
particle 87,0.03,0.75,-2.25032e-16,6.21337e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.52872e-14,1.23404e-14,6.59578e-14
particle 88,0.03,0.77,-1.73245e-16,-8.10304e-16,0.43,0.991062,0.0240029,1074.74,716.491,5.75855e-15,-2.4709e-14,6.61604e-14
particle 89,0.03,0.79,-2.72724e-16,-2.74094e-15,0.43,0.991062,0.0240029,1074.74,716.491,-6.79685e-15,-2.3331e-15,9.21741e-14
particle 90,0.03,0.81,-4.95984e-16,-6.71616e-15,0.43,0.991062,0.0240029,1074.74,716.491,8.74301e-15,-1.78746e-14,-1.36627e-13
particle 91,0.03,0.83,-4.5676e-16,6.90579e-15,0.43,0.991062,0.0240029,1074.74,716.491,7.2007e-15,2.68198e-14,-1.36394e-13
particle 92,0.03,0.85,-3.52316e-16,2.9583e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.05291e-14,4.28339e-15,9.175e-14
particle 93,0.03,0.87,-2.25033e-16,6.12727e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.4398e-14,1.15638e-14,6.61214e-14
particle 94,0.03,0.89,-2.03196e-16,-8.69235e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.20395e-14,-2.92789e-14,6.53786e-14
particle 95,0.03,0.91,-3.2867e-16,-2.75737e-15,0.43,0.991062,0.0240029,1074.74,716.491,4.4501e-15,-5.79164e-15,9.07469e-14
particle 96,0.03,0.93,-4.04814e-16,-6.73627e-15,0.43,0.991062,0.0240029,1074.74,716.491,-5.41234e-15,-1.61676e-14,-1.35991e-13
particle 97,0.03,0.95,-4.22033e-16,6.81977e-15,0.43,0.991062,0.0240029,1074.74,716.491,7.56226e-15,1.76184e-14,-1.33998e-13
particle 98,0.03,0.97,-3.14679e-16,2.74e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.20529e-15,2.17953e-14,8.92561e-14
particle 99,0.03,0.99,-3.22582e-16,8.91394e-16,0.43,0.991062,0.0240029,1074.74,716.491,7.32666e-15,4.46635e-14,5.96491e-14
particle 100,0.05,0.01,-5.6606e-16,-7.60724e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.54876e-14,2.52576e-14,6.95927e-15
particle 101,0.05,0.03,-5.49943e-16,-6.68488e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.29063e-14,5.38458e-15,-2.05151e-14
particle 102,0.05,0.05,-5.64321e-16,-3.94701e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.75693e-14,3.07393e-14,-3.64316e-14
particle 103,0.05,0.07,-6.1678e-16,4.08724e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.77833e-14,-3.11834e-14,-3.11289e-14
particle 104,0.05,0.09,-7.06449e-16,1.57414e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.57374e-14,-1.37529e-14,-1.64545e-14
particle 105,0.05,0.11,-5.76962e-16,1.66934e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.49523e-14,6.10623e-16,-1.58067e-14
particle 106,0.05,0.13,-6.25228e-16,6.67604e-17,0.43,0.991062,0.0240029,1074.74,716.491,2.80331e-14,-1.80411e-15,8.03515e-15
particle 107,0.05,0.15,-5.30903e-16,-1.79899e-15,0.43,0.991062,0.0240029,1074.74,716.491,7.52176e-15,-5.21805e-15,-2.34005e-14
particle 108,0.05,0.17,-7.17746e-16,1.66974e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.48968e-14,2.65066e-15,-6.4287e-14
particle 109,0.05,0.19,-5.90369e-16,1.20916e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.81983e-14,-9.63187e-15,-1.5311e-16
particle 110,0.05,0.21,-5.48205e-16,-1.25928e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.9976e-14,4.13558e-15,1.46806e-15
particle 111,0.05,0.23,-6.04613e-16,-1.23008e-16,0.43,0.991062,0.0240029,1074.74,716.491,3.01426e-14,-3.17801e-15,-5.70876e-14
particle 112,0.05,0.25,-5.66198e-16,1.46857e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.18285e-14,-2.78147e-14,-6.47896e-15
particle 113,0.05,0.27,-6.87253e-16,-6.86422e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.24849e-14,-2.9169e-15,5.3255e-14
particle 114,0.05,0.29,-6.67263e-16,-3.32466e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.44051e-14,8.64586e-15,-6.98401e-14
particle 115,0.05,0.31,-5.25473e-16,3.09171e-15,0.43,0.991062,0.0240029,1074.74,716.491,9.70239e-16,-2.32598e-14,-5.75839e-14
particle 116,0.05,0.33,-6.80588e-16,-1.5507e-16,0.43,0.991062,0.0240029,1074.74,716.491,-9.3581e-15,-5.77452e-17,7.57127e-14
particle 117,0.05,0.35,-7.80633e-16,-3.25933e-15,0.43,0.991062,0.0240029,1074.74,716.491,9.99201e-16,1.57652e-14,-6.05191e-14
particle 118,0.05,0.37,-5.54571e-16,3.15466e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.48449e-15,-2.08369e-14,-5.81015e-14
particle 119,0.05,0.39,-7.03132e-16,-8.92745e-17,0.43,0.991062,0.0240029,1074.74,716.491,-1.14314e-14,-8.30739e-16,7.28966e-14
particle 120,0.05,0.41,-7.30703e-16,-3.1904e-15,0.43,0.991062,0.0240029,1074.74,716.491,7.77156e-16,1.92762e-14,-6.18424e-14
particle 121,0.05,0.43,-4.59658e-16,3.21701e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.38843e-14,-1.38705e-14,-5.89832e-14
particle 122,0.05,0.45,-6.26793e-16,-7.416e-18,0.43,0.991062,0.0240029,1074.74,716.491,-5.90152e-15,5.37591e-15,6.82856e-14
particle 123,0.05,0.47,-4.95351e-16,-2.84634e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.30451e-15,2.39669e-14,-6.7608e-14
particle 124,0.05,0.49,-3.00821e-16,3.79233e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.79221e-14,1.1245e-14,-6.94095e-14
particle 125,0.05,0.51,-4.96496e-16,1.06799e-15,0.43,0.991062,0.0240029,1074.74,716.491,-8.66168e-16,-2.49829e-14,5.20803e-14
particle 126,0.05,0.53,-7.33209e-16,-4.35219e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.65649e-14,-2.67312e-14,5.52191e-14
particle 127,0.05,0.55,-5.93351e-16,-2.46907e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.98172e-14,6.80396e-15,7.68945e-14
particle 128,0.05,0.57,-5.38724e-16,-6.93733e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.74225e-14,-1.36419e-14,-1.55955e-13
particle 129,0.05,0.59,-4.42855e-16,6.90982e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.30254e-14,2.02279e-14,-1.59634e-13
particle 130,0.05,0.61,-4.47392e-16,2.66716e-15,0.43,0.991062,0.0240029,1074.74,716.491,-9.56853e-15,-6.65777e-15,7.23967e-14
particle 131,0.05,0.63,-4.20298e-16,6.44549e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.27676e-15,2.27457e-14,4.70752e-14
particle 132,0.05,0.65,-7.489e-16,-5.58331e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.0892e-14,-2.22402e-14,4.81994e-14
particle 133,0.05,0.67,-6.6913e-16,-2.66694e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.36512e-14,3.91125e-15,7.46477e-14
particle 134,0.05,0.69,-5.39751e-16,-6.91667e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.99563e-14,-1.16851e-14,-1.58717e-13
particle 135,0.05,0.71,-5.12966e-16,6.8861e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.25959e-14,1.31674e-14,-1.58739e-13
particle 136,0.05,0.73,-4.92177e-16,2.60692e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.28899e-14,-1.07609e-14,7.2946e-14
particle 137,0.05,0.75,-4.20298e-16,6.37123e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.27676e-15,2.72421e-14,4.66742e-14
particle 138,0.05,0.77,-7.489e-16,-5.58331e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.0892e-14,-2.22402e-14,4.79934e-14
particle 139,0.05,0.79,-6.6913e-16,-2.66694e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.36512e-14,3.91125e-15,7.46327e-14
particle 140,0.05,0.81,-5.39751e-16,-6.91667e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.99563e-14,-1.16851e-14,-1.58717e-13
particle 141,0.05,0.83,-5.12966e-16,6.8861e-15,0.43,0.991062,0.0240029,1074.74,716.491,1.25959e-14,1.31674e-14,-1.58739e-13
particle 142,0.05,0.85,-4.92177e-16,2.60684e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.28899e-14,-1.07887e-14,7.29959e-14
particle 143,0.05,0.87,-4.21597e-16,6.25572e-16,0.43,0.991062,0.0240029,1074.74,716.491,-6.2848e-15,2.35446e-14,4.68294e-14
particle 144,0.05,0.89,-6.88222e-16,-5.46202e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.79937e-14,-1.55391e-14,4.75285e-14
particle 145,0.05,0.91,-5.78172e-16,-2.69257e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.07177e-14,-9.3476e-15,7.43207e-14
particle 146,0.05,0.93,-5.70721e-16,-6.93615e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.22797e-14,-2.08028e-14,-1.56925e-13
particle 147,0.05,0.95,-5.91672e-16,6.89482e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.09069e-14,1.67857e-14,-1.55933e-13
particle 148,0.05,0.97,-5.1345e-16,2.62342e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.88933e-16,3.35825e-15,7.36773e-14
particle 149,0.05,0.99,-7.68545e-16,6.17474e-16,0.43,0.991062,0.0240029,1074.74,716.491,8.88178e-16,3.10202e-14,4.36151e-14
particle 150,0.07,0.01,5.25125e-16,-4.63113e-16,0.43,0.991062,0.0240029,1074.74,716.491,-8.83019e-15,2.30946e-14,1.12624e-14
particle 151,0.07,0.03,6.19233e-16,-7.12332e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.36059e-14,7.32063e-15,-1.18777e-14
particle 152,0.07,0.05,4.42182e-16,-5.34419e-16,0.43,0.991062,0.0240029,1074.74,716.491,-2.13995e-14,3.79419e-14,-3.25806e-14
particle 153,0.07,0.07,6.7855e-16,4.02636e-16,0.43,0.991062,0.0240029,1074.74,716.491,-8.95051e-15,-2.6652e-14,-2.94858e-14
particle 154,0.07,0.09,6.51469e-16,2.79992e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.69214e-14,-9.62644e-15,-1.37159e-14
particle 155,0.07,0.11,7.46825e-16,2.31246e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.25358e-14,1.23997e-15,-1.12688e-14
particle 156,0.07,0.13,6.77681e-16,4.97198e-18,0.43,0.991062,0.0240029,1074.74,716.491,-1.15574e-14,-6.38933e-15,1.0595e-14
particle 157,0.07,0.15,4.98117e-16,-1.7534e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.66454e-14,-6.73073e-15,-1.80126e-14
particle 158,0.07,0.17,8.49478e-16,8.48663e-17,0.43,0.991062,0.0240029,1074.74,716.491,-1.66726e-14,6.41577e-15,-5.84926e-14
particle 159,0.07,0.19,4.98062e-16,1.18107e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.8294e-14,-7.62047e-15,-3.07062e-16
particle 160,0.07,0.21,5.55249e-16,-1.09897e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.56166e-14,1.17455e-14,4.98239e-15
particle 161,0.07,0.23,6.80457e-16,-4.60432e-16,0.43,0.991062,0.0240029,1074.74,716.491,-1.90403e-14,-1.25316e-14,-5.23291e-14
particle 162,0.07,0.25,2.24684e-16,1.4473e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.34176e-14,-3.0648e-14,-8.04394e-15
particle 163,0.07,0.27,4.378e-16,-6.96473e-16,0.43,0.991062,0.0240029,1074.74,716.491,-8.06164e-15,-7.12557e-15,5.05654e-14
particle 164,0.07,0.29,5.04042e-16,-3.22543e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.81799e-14,7.86871e-15,-6.7719e-14
particle 165,0.07,0.31,9.66413e-17,3.03765e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.13735e-14,-1.77743e-14,-5.54087e-14
particle 166,0.07,0.33,2.90732e-17,-9.01034e-17,0.43,0.991062,0.0240029,1074.74,716.491,-1.06654e-14,4.63154e-15,7.0689e-14
particle 167,0.07,0.35,5.13838e-16,-2.98258e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.23432e-14,1.27676e-14,-5.93676e-14
particle 168,0.07,0.37,1.01271e-16,3.12624e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.63506e-14,-1.32684e-14,-5.42115e-14
particle 169,0.07,0.39,2.14464e-16,-8.03616e-17,0.43,0.991062,0.0240029,1074.74,716.491,-7.58516e-15,4.31205e-15,7.03038e-14
particle 170,0.07,0.41,6.03191e-16,-2.96219e-15,0.43,0.991062,0.0240029,1074.74,716.491,-1.88738e-14,1.63203e-14,-5.86062e-14
particle 171,0.07,0.43,2.73094e-17,3.04308e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.29099e-14,-1.4286e-14,-5.45696e-14
particle 172,0.07,0.45,2.34327e-16,-2.33442e-17,0.43,0.991062,0.0240029,1074.74,716.491,-5.18356e-15,4.06956e-15,6.68072e-14
particle 173,0.07,0.47,4.23221e-16,-2.67762e-15,0.43,0.991062,0.0240029,1074.74,716.491,-2.55906e-14,2.80331e-14,-6.55054e-14
particle 174,0.07,0.49,5.76653e-17,3.82123e-15,0.43,0.991062,0.0240029,1074.74,716.491,-3.3723e-14,3.05333e-16,-6.64776e-14
